,Month,Day,Year,Assgn_dam,NodeCount_x,NodeCount_y
0,1,1,2014,298.0,5,39
1,1,1,2014,301.0,8,38
2,1,1,2014,8545.0,47,49
3,1,1,2014,8562.0,6,49
4,1,1,2015,8669.0,29,16
5,1,1,2017,8678.0,17,19
6,1,1,2018,250.0,49,18
7,1,1,2018,253.0,36,42
8,1,1,2019,60.0,33,45
9,1,1,2024,8626.0,50,42
10,1,1,2024,8629.0,38,22
11,1,1,2024,8635.0,47,48
12,1,2,2016,95.0,15,27
13,1,2,2016,8628.0,22,28
14,1,2,2019,15.0,24,6
15,1,2,2019,18.0,6,29
16,1,2,2022,95.0,17,33
17,1,2,2024,476.0,5,49
18,1,2,2025,95.0,15,37
19,1,2,2025,8591.0,18,38
20,1,2,2025,8594.0,8,49
21,1,2,2025,8595.0,19,47
22,1,2,2025,8604.0,50,34
23,1,2,2025,8622.0,49,45
24,1,2,2025,8626.0,50,50
25,1,2,2025,8629.0,22,25
26,1,3,2014,59.0,23,23
27,1,3,2014,8590.0,42,23
28,1,3,2014,8591.0,20,38
29,1,3,2014,8594.0,7,49
30,1,3,2014,8595.0,20,47
31,1,3,2014,8612.0,49,46
32,1,3,2014,8628.0,47,50
33,1,3,2014,8631.0,50,50
34,1,3,2016,246.0,5,50
35,1,3,2018,298.0,5,32
36,1,3,2018,301.0,16,38
37,1,3,2019,95.0,12,34
38,1,3,2019,99.0,13,43
39,1,3,2019,103.0,22,42
40,1,3,2021,525.0,11,13
41,1,3,2021,8670.0,9,48
42,1,3,2022,95.0,18,39
43,1,3,2022,99.0,24,47
44,1,3,2022,103.0,23,42
45,1,3,2022,246.0,42,49
46,1,3,2024,265.0,48,43
47,1,3,2025,428.0,32,43
48,1,3,2025,436.0,49,47
49,1,3,2025,8626.0,50,50
50,1,3,2025,8629.0,15,42
51,1,4,2014,15.0,15,5
52,1,4,2014,30.0,48,46
53,1,4,2016,459.0,44,6
54,1,4,2016,8644.0,41,31
55,1,4,2017,95.0,13,19
56,1,4,2017,8628.0,50,44
57,1,4,2017,8631.0,50,48
58,1,4,2018,567.0,13,49
59,1,4,2018,587.0,24,46
60,1,4,2018,591.0,19,23
61,1,4,2018,620.0,20,42
62,1,4,2018,8678.0,21,27
63,1,4,2019,231.0,11,49
64,1,4,2019,232.0,20,48
65,1,4,2019,246.0,46,48
66,1,4,2019,253.0,27,35
67,1,4,2019,266.0,50,34
68,1,4,2020,60.0,33,47
69,1,4,2022,225.0,37,41
70,1,4,2022,231.0,11,49
71,1,4,2022,232.0,16,39
72,1,4,2022,459.0,38,7
73,1,4,2022,476.0,10,49
74,1,4,2023,8594.0,17,49
75,1,4,2023,8597.0,7,36
76,1,4,2023,8628.0,26,12
77,1,4,2024,269.0,17,8
78,1,4,2024,587.0,48,45
79,1,4,2025,476.0,8,48
80,1,4,2025,8644.0,9,19
81,1,5,2014,95.0,13,32
82,1,5,2014,99.0,17,38
83,1,5,2014,103.0,20,42
84,1,5,2016,293.0,26,46
85,1,5,2018,59.0,27,49
86,1,5,2018,60.0,10,31
87,1,5,2019,525.0,11,36
88,1,5,2019,8669.0,41,33
89,1,5,2019,8675.0,40,40
90,1,5,2023,8591.0,19,34
91,1,5,2023,8595.0,15,46
92,1,5,2023,8597.0,5,36
93,1,5,2023,8604.0,49,33
94,1,5,2023,8617.0,49,47
95,1,5,2023,8622.0,49,38
